id,Postcodes,locality,state,lat,long,Lat_precise,Long_precise
308,872,AMATA,SA,-26.12766197,131.1738799,0,0
317,872,AYERS RANGE SOUTH,SA,-26.1906007,133.2680322,-26.1906,133.268
325,872,DE ROSE HILL,SA,-26.5560969,133.3111959,-26.5561,133.311
329,872,ERNABELLA,SA,-21.949513,131.298809,-26.2796,132.134
330,872,ERNABELLA (PUKATJA),SA,-26.2796,132.134,-26.2796,132.134
332,872,FREGON,SA,-21.949513,131.298809,-26.7655,132.028
344,872,INDULKANA,SA,-21.949513,131.298809,-26.9661,133.308
345,872,INDULKANA (IWANTJA),SA,-26.9661,133.308,-26.9661,133.308
347,872,IWANTJA,SA,-26.97805135,133.3066861,-26.9661,133.308
349,872,KALKA,SA,-26.11557751,129.1527543,-26.1171,129.152
350,872,KALTJITI,SA,-26.76713295,132.0298903,-26.7655,132.028
352,872,KANPI,SA,-26.16295046,130.1149452,-26.1676,130.118
359,872,LAMBINA,SA,-26.98843007,134.0209294,-26.9884,134.021
363,872,MIMILI,SA,-27.02392513,132.7012923,-27.0061,132.71
367,872,MURPUTJA,SA,-26.1637425,130.1826917,-26.1593,130.184
372,872,NYAPARI,SA,-26.18249261,130.2070878,-26.1758,130.221
377,872,PIPALYATJARA,SA,-26.17046294,129.1456993,-26.1621,129.171
379,872,PUKATJA,SA,-26.29118818,132.138154,-26.2796,132.134
388,872,TIEYON,SA,-26.34253111,133.8900188,-26.1045,133.819
394,872,UMUWA,SA,-26.47801156,132.0252848,-26.4662,132.041
399,872,WATARRU,SA,-27.02469871,129.9052488,-27.0236,129.901
400,872,WATINUMA,SA,-26.52118731,131.8810186,-26.5224,131.881
408,872,YUNYARINYI,SA,-26.32328109,132.4550072,-26.3271,132.447
13609,5000,ADELAIDE,SA,-34.937459,138.608637,-34.9328294,138.6038129
13610,5000,ADELAIDE BC,SA,-34.937459,138.608637,-34.9304,138.589
13611,5000,CITY WEST CAMPUS,SA,-34.937459,138.608637,-34.9229498,138.5911523
13612,5000,HALIFAX STREET,SA,-34.937459,138.608637,-34.9324849,138.6085859
13613,5000,HUTT STREET,SA,-34.937459,138.608637,-34.9300283,138.6121159
13614,5000,PARLIAMENT HOUSE,SA,-34.937459,138.608637,-34.9211381,138.5987173
13615,5000,RUNDLE MALL,SA,-34.937459,138.608637,-34.922844,138.601913
13616,5000,STATION ARCADE,SA,-34.937459,138.608637,-34.922016,138.597284
13617,5000,STURT STREET,SA,-34.937459,138.608637,-34.933324,138.5935458
13618,5001,ADELAIDE,SA,-35.120097,139.273782,-34.9219463,138.5955172
13619,5005,ADELAIDE UNIVERSITY,SA,-34.919398,138.60351,-34.920603,138.6062277
13620,5005,THE UNIVERSITY OF ADELAIDE,SA,-34.919398,138.60351,-34.920603,138.6062277
13621,5005,UNIVERSITY OF ADELAIDE,SA,-34.919398,138.60351,-34.920603,138.6062277
13622,5006,NORTH ADELAIDE,SA,-34.911523,138.584497,-34.9091145,138.5962997
13623,5006,NORTH ADELAIDE MELBOURNE ST,SA,-34.911523,138.584497,-34.9073989,138.6067228
13624,5007,BOWDEN,SA,-34.903259,138.56787,-34.904,138.579
13625,5007,BROMPTON,SA,-34.903259,138.56787,-34.897,138.577
13626,5007,HINDMARSH,SA,-34.903259,138.56787,-34.906,138.57
13627,5007,WELLAND,SA,-34.903259,138.56787,-34.9041817,138.5581233
13628,5007,WEST HINDMARSH,SA,-34.903259,138.56787,-34.9054239,138.5625029
13629,5008,CROYDON,SA,-34.887511,138.559407,-34.898,138.564
13630,5008,CROYDON PARK,SA,-34.887511,138.559407,-34.886,138.567
13631,5008,CROYDON PARK SOUTH,SA,-34.887511,138.559407,-34.886,138.567
13632,5008,DEVON PARK,SA,-34.887511,138.559407,-34.888,138.58
13633,5008,DUDLEY PARK,SA,-34.887511,138.559407,-34.882,138.578
13634,5008,RENOWN PARK,SA,-34.887511,138.559407,-34.893,138.578
13635,5008,RIDLEYTON,SA,-34.887511,138.559407,-34.8925,138.5703
13636,5008,WEST CROYDON,SA,-34.887511,138.559407,-34.89,138.558
13637,5009,ALLENBY GARDENS,SA,-34.896906,138.542493,-34.904,138.555
13638,5009,BEVERLEY,SA,-34.896906,138.542493,-34.893,138.547
13639,5009,KILKENNY,SA,-34.896906,138.542493,-34.8783839,138.552493
13640,5010,ANGLE PARK,SA,-34.857497,138.558318,-34.859,138.561
13641,5010,FERRYDEN PARK,SA,-34.857497,138.558318,-34.864,138.557
13642,5010,REGENCY PARK,SA,-34.857497,138.558318,-34.86,138.57
13643,5010,REGENCY PARK BC,SA,-34.857497,138.558318,-34.8599,138.57
13644,5011,ST CLAIR,SA,-34.87089128,138.5353265,-34.871,138.53
13645,5011,ST CLAIRE,SA,-34.877605,138.538261,-34.871,138.53
13646,5011,WOODVILLE,SA,-34.883282,138.527677,-34.881,138.535
13647,5011,WOODVILLE PARK,SA,-34.883282,138.527677,-34.882142,138.5449867
13648,5011,WOODVILLE SOUTH,SA,-34.883282,138.527677,-34.881,138.535
